title;education_id;graduate_date
Python and SQL fundamentals;1;2021-09-01T00:00:00.000000
Django, OOP, Unittest;1;2021-11-01T00:00:00.000000
Django REST framework and API;1;2022-01-01T00:00:00.000000
Algorithms and data structures;1;2022-03-01T00:00:00.000000
Docker, DevOps, CI/CD;1;2022-05-01T00:00:00.000000
HTML, CSS, BEM, Responsive layout;1;2022-09-01T00:00:00.000000
JavaScript fundamenals;1;2022-11-01T00:00:00.000000
JavaScript, OOP, Async, API, Webpack;1;2023-01-01T00:00:00.000000
Interfaces using React;1;2023-03-01T00:00:00.000000
Node.js, express.js;1;2023-04-01T00:00:00.000000
